2020-12-16 11:03:13,804 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2020-12-16 11:03:18,761 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.10.102.187/com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService&version=*, urls: [dubbo://172.16.35.123:20905/com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService?anyhost=true&application=bankplat-service-all&dubbo=2.4.9&interface=com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService&methods=add,submit,approval,reject,findOne,update,findAll,delete,getBusinessFlowTransition&pid=7879&revision=1.1.0&side=provider&threadpool=cached&timestamp=1607513461116, empty://10.10.102.187/com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService&version=*, empty://10.10.102.187/com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService&version=*, empty://10.10.102.187/com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.bacc.mng.api.fincom.change.FinComChangeApplyService&version=*], dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,765 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.finance.risk.evaluate.estimate.service.EstimateService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.risk.evaluate.estimate.service.EstimateService&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,855 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.10.102.187/com.iss.finance.risk.evaluate.estimate.service.EstimateService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.risk.evaluate.estimate.service.EstimateService&version=*, urls: [dubbo://172.16.35.123:20921/com.iss.finance.risk.evaluate.estimate.service.EstimateService?anyhost=true&application=bankplat-service-all&dubbo=2.4.9&interface=com.iss.finance.risk.evaluate.estimate.service.EstimateService&methods=add,queryTradeInfo,pageQuery,findTradeOne,findByEstimateDate,findOne,findCreditOne,queryAssureType,queryCreditInfo,findAll,delete&pid=7879&revision=0.0.1-SNAPSHOT&side=provider&threadpool=cached&timestamp=1607514035285, consumer://172.16.35.123/com.iss.finance.risk.evaluate.estimate.service.EstimateService?application=risk-service-all&category=consumers&check=false&connected=true&default.check=false&default.retries=0&default.timeout=30000&dubbo=2.4.9&interface=com.iss.finance.risk.evaluate.estimate.service.EstimateService&methods=add,queryTradeInfo,pageQuery,findTradeOne,findByEstimateDate,findOne,findCreditOne,queryAssureType,queryCreditInfo,findAll,delete&pid=7879&protocol=dubbo&revision=0.0.1-SNAPSHOT&side=consumer&timestamp=1607514000254, empty://10.10.102.187/com.iss.finance.risk.evaluate.estimate.service.EstimateService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.risk.evaluate.estimate.service.EstimateService&version=*, empty://10.10.102.187/com.iss.finance.risk.evaluate.estimate.service.EstimateService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.risk.evaluate.estimate.service.EstimateService&version=*], dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,860 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,933 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.10.102.187/com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService&version=*, urls: [empty://10.10.102.187/com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService&version=*, empty://10.10.102.187/com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService&version=*, empty://10.10.102.187/com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService&version=*, empty://10.10.102.187/com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.observicemanage.serviceinfosetting.service.ServiceInfoSettingService&version=*], dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:18,939 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.finance.risk.base.tag.RiskCommonService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.risk.base.tag.RiskCommonService&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:19,021 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.10.102.187/com.iss.finance.risk.base.tag.RiskCommonService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.risk.base.tag.RiskCommonService&version=*, urls: [dubbo://172.16.35.123:20921/com.iss.finance.risk.base.tag.RiskCommonService?anyhost=true&application=bankplat-service-all&dubbo=2.4.9&interface=com.iss.finance.risk.base.tag.RiskCommonService&methods=queryForObject,queryForDataGridList,queryForList,deleteObject,updateObject&pid=7879&revision=0.0.1-SNAPSHOT&side=provider&threadpool=cached&timestamp=1607514034422, consumer://172.16.35.123/com.iss.finance.risk.base.tag.RiskCommonService?application=risk-service-all&category=consumers&check=false&connected=true&default.check=false&default.retries=0&default.timeout=30000&dubbo=2.4.9&interface=com.iss.finance.risk.base.tag.RiskCommonService&pid=7879&protocol=dubbo&revision=0.0.1-SNAPSHOT&side=consumer&timestamp=1607514000290, empty://10.10.102.187/com.iss.finance.risk.base.tag.RiskCommonService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.risk.base.tag.RiskCommonService&version=*, empty://10.10.102.187/com.iss.finance.risk.base.tag.RiskCommonService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.risk.base.tag.RiskCommonService&version=*], dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:19,025 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:19,091 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://10.10.102.187/com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer&version=*, urls: [dubbo://172.16.35.123:20906/com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer?anyhost=true&application=ifinance-settlement&dubbo=2.4.9&interface=com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer&methods=checkCanSendInstruction&pid=7879&side=provider&threadpool=cached&timestamp=1607513526330, consumer://172.16.35.123/com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer?application=bankplat-service-all&category=consumers&check=false&connected=true&default.check=false&default.retries=0&default.timeout=300000&dubbo=2.4.9&interface=com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer&methods=checkCanSendInstruction&pid=7879&protocol=dubbo&retries=0&revision=1.0.0&side=consumer&timestamp=1607513431874, empty://10.10.102.187/com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer&version=*, empty://10.10.102.187/com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.scf.settlement.interfaces.in.bankinstruction.servers.BankInstructionServer&version=*], dubbo version: 2.6.2, current host: 10.10.102.187
2020-12-16 11:03:19,094 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://10.10.102.187/com.iss.finance.bp.setting.api.BankNameAndCodeService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.iss.finance.bp.setting.api.BankNameAndCodeService&version=*, dubbo version: 2.6.2, current host: 10.10.102.187
